"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"98","bmg2023eeoj","2023-03-01T09:56:47.581851Z","-2.460467815","140.5001678","2.828714948","MLv","10","11","179.8755188","Near North Coast of West Papua","BMKG"
"99","bmg2023eegv","2023-03-01T06:08:43.706086Z","-7.86491251","107.9657745","2.845285118","MLv","36","23","204.3291931","Java, Indonesia","BMKG"
"100","bmg2023eefn","2023-03-01T05:28:51.439855Z","-4.812743664","102.9562912","2.84771486","M","56","19","118.5267563","Southern Sumatra, Indonesia","BMKG"
"101","bmg2023eedd","2023-03-01T04:16:04.448894Z","2.120481014","127.1740723","4.1654723","MLv","29","42","100.9936142","Northern Molucca Sea","BMKG"
"102","bmg2023eeda","2023-03-01T04:12:57.007151Z","-0.5470057726","121.8056564","2.561947755","MLv","10","21","68.50054932","Minahassa Peninsula, Sulawesi","BMKG"
"103","bmg2023edyt","2023-03-01T02:03:22.394475Z","-1.598442674","120.2092285","3.77325967","M","10","75","64.46200562","Sulawesi, Indonesia","BMKG"
"104","bmg2023edyd","2023-03-01T01:45:06.464336Z","-2.469827175","140.6719971","3.335066203","MLv","10","12","220.1019287","Near North Coast of West Papua","BMKG"
"105","bmg2023edxv","2023-03-01T01:35:53.541432Z","-2.489985943","121.3653717","2.053092328","M","10","12","246.2740326","Sulawesi, Indonesia","BMKG"
"106","bmg2023edwm","2023-03-01T00:54:25.589946Z","-2.558290958","140.7311096","2.437689071","MLv","10","7","208.8330688","Near North Coast of West Papua","BMKG"
"107","bmg2023edur","2023-02-28T23:59:22.121489Z","-1.516304016","120.1099396","3.176190386","MLv","5","28","65.64697266","Sulawesi, Indonesia","BMKG"
"108","bmg2023edtz","2023-02-28T23:38:47.24804Z","-1.556872487","120.1263199","2.631712783","MLv","5","13","108.6603394","Sulawesi, Indonesia","BMKG"
"109","bmg2023edsg","2023-02-28T22:46:29.907386Z","-0.1882380992","124.4611893","2.823443392","M","27","10","204.9401112","Southern Molucca Sea","BMKG"
"110","bmg2023edqy","2023-02-28T22:06:49.121805Z","2.69157052","126.4399643","4.577219348","M","10","30","94.96951866","Northern Molucca Sea","BMKG"
"111","bmg2023edqw","2023-02-28T22:04:47.054867Z","3.766909361","126.7477875","3.183027009","MLv","30","6","153.5207062","Talaud Islands, Indonesia","BMKG"
"112","bmg2023edqf","2023-02-28T21:45:01.925039Z","-8.80086422","119.0552444","2.81921892","MLv","85","39","106.3079071","Flores Region, Indonesia","BMKG"
"113","bmg2023edpz","2023-02-28T21:36:58.299306Z","-0.9298125505","127.4829712","2.720702465","MLv","10","7","205.0648293","Halmahera, Indonesia","BMKG"
"114","bmg2023edps","2023-02-28T21:29:26.772687Z","0.5855692029","119.5590668","3.532457226","MLv","17","16","133.9464951","Minahassa Peninsula, Sulawesi","BMKG"
"115","bmg2023edmw","2023-02-28T20:03:17.912657Z","1.351880431","125.7917633","3.922766706","MLv","50","31","78.12430573","Northern Molucca Sea","BMKG"
"116","bmg2023edlm","2023-02-28T19:20:38.799893Z","1.324820518","125.7722321","3.490396269","MLv","55","29","77.22129631","Northern Molucca Sea","BMKG"
"117","bmg2023edjf","2023-02-28T18:12:18.26437Z","0.4403686225","120.4989014","3.747507197","MLv","48","31","139.4654999","Minahassa Peninsula, Sulawesi","BMKG"
"118","bmg2023edfu","2023-02-28T16:28:05.490806Z","-3.179910183","136.414093","3.634291521","MLv","5","7","190.2015381","West Papua, Indonesia","BMKG"
"119","bmg2023edfo","2023-02-28T16:21:10.521217Z","-8.113402367","120.6110764","2.920469936","MLv","5","13","113.7023459","Flores Region, Indonesia","BMKG"
"120","bmg2023edet","2023-02-28T15:57:27.501108Z","-4.42099905","122.8707275","2.973536298","MLv","5","7","224.3259888","Sulawesi, Indonesia","BMKG"
"121","bmg2023edeo","2023-02-28T15:50:24.00389Z","-8.509343147","118.4021378","2.119873193","MLv","112","14","178.5048523","Sumbawa Region, Indonesia","BMKG"
"122","bmg2023eden","2023-02-28T15:49:51.215392Z","1.34142375","125.8227081","3.507187255","MLv","29","22","87.61750031","Northern Molucca Sea","BMKG"
"123","bmg2023edcv","2023-02-28T14:58:27.138399Z","-3.664593697","101.6409149","2.865270839","MLv","30","11","223.815033","Southern Sumatra, Indonesia","BMKG"
"124","bmg2023edch","2023-02-28T14:42:53.100459Z","1.346062183","125.8199844","4.808323582","Mw(mB)","44","103","67.58023071","Northern Molucca Sea","BMKG"
"125","bmg2023edcb","2023-02-28T14:35:25.979505Z","4.189404011","125.9059372","3.895710294","MLv","69","19","235.1445541","Talaud Islands, Indonesia","BMKG"
"126","bmg2023edbc","2023-02-28T14:05:36.398251Z","-3.286314249","122.6964264","2.988582443","M","19","6","318.7558594","Sulawesi, Indonesia","BMKG"
"127","bmg2023eday","2023-02-28T14:01:24.429915Z","-1.66766274","120.1609116","2.773785974","MLv","10","9","143.2834625","Sulawesi, Indonesia","BMKG"
"128","bmg2023edar","2023-02-28T13:53:06.235403Z","-9.005944252","116.9630203","2.942361982","MLv","68","20","194.5739822","Sumbawa Region, Indonesia","BMKG"
"129","bmg2023edao","2023-02-28T13:50:14.10529Z","-1.621390939","120.2000809","3.188587426","MLv","5","33","66.00485229","Sulawesi, Indonesia","BMKG"
"130","bmg2023edan","2023-02-28T13:48:51.577026Z","-1.610235691","120.1922531","3.39690945","MLv","5","29","65.9524231","Sulawesi, Indonesia","BMKG"
"131","bmg2023eczh","2023-02-28T13:11:48.402048Z","-7.030189037","106.6453323","3.986301106","MLv","5","55","82.48543549","Java, Indonesia","BMKG"
"132","bmg2023ecxk","2023-02-28T12:13:45.766607Z","-1.65614593","120.2352524","2.843746336","MLv","5","27","67.69029617","Sulawesi, Indonesia","BMKG"
"133","bmg2023ecss","2023-02-28T09:52:16.041793Z","3.896797895","96.21202087","3.894180691","MLv","27","28","143.3888092","Northern Sumatra, Indonesia","BMKG"
"134","bmg2023ecqc","2023-02-28T08:33:01.386162Z","-1.551297903","120.1392441","2.834834452","MLv","5","19","125.6950378","Sulawesi, Indonesia","BMKG"
"135","bmg2023ecnv","2023-02-28T07:23:36.11104Z","-1.636433005","120.2034836","2.525925241","MLv","5","16","92.19033051","Sulawesi, Indonesia","BMKG"
"136","bmg2023ecnq","2023-02-28T07:17:43.091373Z","-1.669537663","120.2151718","2.660095733","MLv","5","11","124.8548279","Sulawesi, Indonesia","BMKG"
"137","bmg2023ecna","2023-02-28T06:59:24.77303Z","-4.934884548","119.6209412","1.752090443","MLv","5","8","282.8742065","Sulawesi, Indonesia","BMKG"
"138","bmg2023ecmd","2023-02-28T06:33:05.21767Z","-1.63399291","120.2072449","2.96574818","MLv","5","31","83.69313049","Sulawesi, Indonesia","BMKG"
"139","bmg2023eclq","2023-02-28T06:17:43.960126Z","-0.7312250137","125.1312256","3.641557262","MLv","10","18","93.93972778","Southern Molucca Sea","BMKG"
"140","bmg2023eckg","2023-02-28T05:35:44.101472Z","-2.457838774","140.7099762","2.398151479","MLv","10","7","278.9994659","Near North Coast of West Papua","BMKG"
"141","bmg2023ecjm","2023-02-28T05:11:53.153989Z","-1.592300177","120.1195908","2.325299424","M","5","6","269.9468994","Sulawesi, Indonesia","BMKG"
"142","bmg2023ecfw","2023-02-28T03:22:39.133015Z","-9.321372986","113.5352402","3.606872248","MLv","50","23","243.5627289","South of Java, Indonesia","BMKG"
"143","bmg2023ecef","2023-02-28T02:32:12.082797Z","-1.59678781","120.184845","3.538217485","MLv","5","31","65.74874878","Sulawesi, Indonesia","BMKG"
"144","bmg2023eccr","2023-02-28T01:45:56.787035Z","-1.614302397","120.1978149","3.141025251","M","10","14","125.4199066","Sulawesi, Indonesia","BMKG"
"145","bmg2023eccm","2023-02-28T01:40:08.126412Z","-3.079924822","122.7828369","3.357180003","M","15","18","196.4316387","Sulawesi, Indonesia","BMKG"
"146","bmg2023ebzs","2023-02-28T00:15:59.574338Z","-1.643023014","120.2203217","2.54405994","MLv","5","14","92.59228516","Sulawesi, Indonesia","BMKG"
"147","bmg2023ebvg","2023-02-27T22:00:41.64401Z","-8.626274109","116.8602371","2.926684315","MLv","126","36","123.8062515","Sumbawa Region, Indonesia","BMKG"
"148","bmg2023ebte","2023-02-27T20:58:25.757998Z","-1.606297135","120.1881943","2.490227399","M","5","18","122.9941101","Sulawesi, Indonesia","BMKG"
"149","bmg2023ebqg","2023-02-27T19:29:08.84827Z","-1.630403996","120.2245178","2.594595139","MLv","5","28","88.40869141","Sulawesi, Indonesia","BMKG"
"150","bmg2023ebpi","2023-02-27T19:01:16.935551Z","-1.635911942","120.2012634","2.60444298","M","5","25","88.09333801","Sulawesi, Indonesia","BMKG"
"151","bmg2023ebnr","2023-02-27T18:10:49.572405Z","-1.651739597","120.2210388","2.547360107","MLv","5","25","61.74917603","Sulawesi, Indonesia","BMKG"
"152","bmg2023ebnl","2023-02-27T18:04:27.179128Z","-1.628388524","120.2037811","2.562688238","MLv","5","21","67.03575134","Sulawesi, Indonesia","BMKG"
"153","bmg2023ebli","2023-02-27T17:00:24.211794Z","-1.604400039","120.1661911","2.619868292","MLv","5","25","68.27888489","Sulawesi, Indonesia","BMKG"
"154","bmg2023eblf","2023-02-27T16:56:41.824614Z","-7.243534565","107.1502686","2.540639128","MLv","17","19","83.75815582","Java, Indonesia","BMKG"
"155","bmg2023ebkk","2023-02-27T16:31:32.106869Z","-6.715140343","129.9114075","4.92601779","M","162","65","69.88024902","Banda Sea","BMKG"
"156","bmg2023ebjz","2023-02-27T16:19:48.57912Z","-1.646611691","120.2337952","3.104081201","MLv","5","34","43.9713707","Sulawesi, Indonesia","BMKG"
"157","bmg2023ebjl","2023-02-27T16:03:28.497185Z","-1.635734558","120.2066422","2.743480863","M","5","22","66.47470093","Sulawesi, Indonesia","BMKG"
"158","bmg2023ebjh","2023-02-27T15:58:44.886018Z","-8.839679718","111.4669876","2.78320565","MLv","50","8","292.8849344","Java, Indonesia","BMKG"
"159","bmg2023ebiy","2023-02-27T15:47:19.883303Z","0.9346408844","121.1353912","2.569887054","MLv","47","14","117.1992188","Minahassa Peninsula, Sulawesi","BMKG"
"160","bmg2023ebiq","2023-02-27T15:37:59.654728Z","-2.320172548","133.8665314","2.591081042","MLv","14","8","125.718544","West Papua Region, Indonesia","BMKG"
"161","bmg2023ebht","2023-02-27T15:11:29.157163Z","-1.616928101","120.212738","2.82948272","MLv","5","23","69.93050385","Sulawesi, Indonesia","BMKG"
"162","bmg2023ebft","2023-02-27T14:10:53.892903Z","-2.384419918","140.6652832","2.403915412","MLv","10","6","301.6785583","Near North Coast of West Papua","BMKG"
"163","bmg2023ebeg","2023-02-27T13:25:38.438884Z","-5.635271549","119.5123062","2.276663907","MLv","5","18","211.9687347","Sulawesi, Indonesia","BMKG"
"164","bmg2023ebed","2023-02-27T13:21:38.569819Z","0.8901162744","122.7044525","2.638487006","MLv","28","15","184.579483","Minahassa Peninsula, Sulawesi","BMKG"
"165","bmg2023ebct","2023-02-27T12:39:58.06597Z","-7.614200115","122.2984467","3.200991764","MLv","28","17","154.1736755","Flores Sea","BMKG"
"166","bmg2023ebbz","2023-02-27T12:17:20.477629Z","4.774061203","95.70204163","2.238622461","MLv","10","19","85.35752869","Northern Sumatra, Indonesia","BMKG"
"167","bmg2023ebca","2023-02-27T12:16:46.556584Z","-1.616900444","120.2027588","2.422632583","M","11","12","121.865921","Sulawesi, Indonesia","BMKG"
"168","bmg2023ebbr","2023-02-27T12:07:23.167652Z","-5.586200237","119.5820007","2.757542678","M","10","19","198.1143036","Sulawesi, Indonesia","BMKG"
"169","bmg2023eazu","2023-02-27T11:10:37.409874Z","-8.784900665","111.8352966","2.920259923","M","37","10","233.4647369","Java, Indonesia","BMKG"
